id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
goatseus-maximus,1.11,1106259017,-14.15422,1.35,0.04353971,18-11-2024 17-23-32
spx6900,0.568992,528785174,-14.13492,0.985483,0.00131808,18-11-2024 17-23-32
pepecoin-2,3.85,464998491,-11.61934,7.51,0.01088097,18-11-2024 17-23-32
grass,2.39,583561823,-10.59869,3.89,0.654959,18-11-2024 17-23-32
virtual-protocol,0.474901,477781821,-10.23381,0.603703,0.00748604,18-11-2024 17-23-32
fartcoin,0.327747,331154265,-9.07515,0.394513,0.02002855,18-11-2024 17-23-32
mog-coin,2.43e-06,949346642,-6.99272,2.97e-06,4.526e-09,18-11-2024 17-23-32
pyth-network,0.411992,1494420594,-6.57018,1.2,0.22352,18-11-2024 17-23-32
gigachad-2,0.04596857,441488417,-5.92057,0.07644,1.244e-05,18-11-2024 17-23-32
aptos,11.83,6319633508,-5.71459,19.92,3.08,18-11-2024 17-23-32
