id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
rune-pups,0.383111,383527367,33.07032,3.87,0.02136184,18-11-2024 17-29-24
hedera-hashgraph,0.111521,4184713996,32.64131,0.569229,0.00986111,18-11-2024 17-29-24
mantra-dao,4.2,3783168964,29.58205,4.45,0.01726188,18-11-2024 17-29-24
stellar,0.244194,7352444233,27.61789,0.875563,0.00047612,18-11-2024 17-29-24
ponke,0.692057,383244018,20.29451,0.745307,0.00927982,18-11-2024 17-29-24
akash-network,3.76,942069710,16.40327,8.07,0.164994,18-11-2024 17-29-24
enjincoin,0.205642,365909961,16.25918,4.82,0.01865964,18-11-2024 17-29-24
crypto-com-chain,0.18108,4916056539,14.08792,0.965407,0.0121196,18-11-2024 17-29-24
metaplex,0.438003,331871891,13.97859,0.896784,0.02528374,18-11-2024 17-29-24
algorand,0.213798,1769901712,13.06539,3.56,0.087513,18-11-2024 17-29-24
