id,current_price,market_cap,price_change_percentage_24h,ath,atl,Time_stamp
bitcoin,91976.0,1818825193358,0.96333,93477.0,67.81,18-11-2024
ethereum,3118.76,375264134026,-0.77162,4878.26,0.432979,18-11-2024
tether,1.0,127551573433,0.06232,1.32,0.572521,18-11-2024
solana,246.26,116320105580,2.77856,259.96,0.500801,18-11-2024
binancecoin,622.67,90786271621,-2.0702,717.48,0.0398177,18-11-2024
ripple,1.14,65108753936,6.45874,3.4,0.00268621,18-11-2024
dogecoin,0.373075,54725221396,1.7919,0.731578,8.69e-05,18-11-2024
usd-coin,1.0,37094995930,0.06973,1.17,0.877647,18-11-2024
staked-ether,3119.0,30502464023,-0.74951,4829.57,482.9,18-11-2024
cardano,0.761473,27230051676,5.34546,3.09,0.01925275,18-11-2024
tron,0.203071,17528205786,3.32345,0.231673,0.00180434,18-11-2024
shiba-inu,2.543e-05,14984528613,2.35956,8.616e-05,5.6366e-11,18-11-2024
avalanche-2,35.62,14565731569,-3.51662,144.96,2.8,18-11-2024
the-open-network,5.5,13986293057,-0.96401,8.25,0.519364,18-11-2024
wrapped-bitcoin,91731.0,13457456430,0.87938,92913.0,3139.17,18-11-2024
wrapped-steth,3695.92,13296391051,-0.87087,7256.02,558.54,18-11-2024
sui,3.75,10671604978,-0.25825,3.92,0.364846,18-11-2024
weth,3118.29,9169348171,-1.00154,4799.89,82.1,18-11-2024
chainlink,14.65,9164567935,2.39056,52.7,0.148183,18-11-2024
pepe,2.152e-05,9052215133,1.35146,2.457e-05,5.5142e-08,18-11-2024
bitcoin-cash,449.09,8884507041,0.75492,3785.82,76.93,18-11-2024
polkadot,5.81,8362263264,2.81944,54.98,2.7,18-11-2024
leo-token,7.8,7212968141,1.98365,8.14,0.799859,18-11-2024
near,5.92,7199896493,-1.0365,20.44,0.526762,18-11-2024
stellar,0.239398,7178859817,21.22732,0.875563,0.00047612,18-11-2024
litecoin,91.17,6855091954,0.94533,410.26,1.15,18-11-2024
aptos,12.1,6430640336,-3.30427,19.92,3.08,18-11-2024
wrapped-eeth,3284.05,5580735870,-0.87134,4196.87,2231.18,18-11-2024
uniswap,9.27,5552538534,2.65929,44.92,1.03,18-11-2024
usds,0.998362,5230362655,0.36294,1.057,0.948265,18-11-2024
crypto-com-chain,0.186281,5016949149,16.02819,0.965407,0.0121196,18-11-2024
internet-computer,9.43,4472245185,-2.62399,700.65,2.87,18-11-2024
kaspa,0.174129,4372741158,16.50879,0.207411,0.00017105,18-11-2024
hedera-hashgraph,0.110208,4175710572,29.25588,0.569229,0.00986111,18-11-2024
ethereum-classic,26.72,3997307935,-1.56077,167.09,0.615038,18-11-2024
render-token,7.86,3966539455,9.33258,13.53,0.03665669,18-11-2024
mantra-dao,4.17,3751259856,24.68587,4.45,0.01726188,18-11-2024
bittensor,495.63,3654009924,-3.77564,757.6,30.83,18-11-2024
dogwifcoin,3.63,3620884690,-4.96032,4.83,0.00155464,18-11-2024
bonk,5.136e-05,3568993740,-0.57273,5.601e-05,8.6142e-08,18-11-2024
fetch-ai,1.3,3392896280,-0.04728,3.45,0.00816959,18-11-2024
polygon-ecosystem-token,0.426212,3388794069,1.54315,1.29,0.286453,18-11-2024
dai,1.0,3311391766,0.0336,1.22,0.88196,18-11-2024
ethena-usde,1.002,3293705020,0.00975,1.032,0.929486,18-11-2024
whitebit,22.18,3195726279,0.27736,22.61,3.06,18-11-2024
blockstack,1.92,2884222484,-1.36541,3.86,0.04559639,18-11-2024
arbitrum,0.701117,2871745335,0.90897,2.39,0.431578,18-11-2024
monero,154.06,2841482279,1.98082,542.33,0.216177,18-11-2024
filecoin,4.56,2732286813,0.01282,236.84,2.64,18-11-2024
okb,44.36,2661909590,-3.32159,73.8,0.580608,18-11-2024
first-digital-usd,1.001,2607969691,0.11393,1.089,0.942129,18-11-2024
vechain,0.03153854,2552957707,5.94438,0.280991,0.00191713,18-11-2024
floki,0.00026354,2546458635,0.51323,0.00034495,8.428e-08,18-11-2024
